Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,FraudFound,ClaimedAmount
Dec,5,Wednesday,Honda,Urban,Jan,1,Female,Single,21,Policy Holder,Sport - Liability,0,5,1,12,300,1,more than 30,more than 30,none,3 years,No,No,External,none,1 year,3 to 4,1994,0,0,5386
Jan,3,Wednesday,Honda,Urban,Jan,4,Male,Single,34,Policy Holder,Sport - Collision,0,5,2,15,400,4,more than 30,more than 30,none,6 years,Yes,No,External,none,no change,1 vehicle,1994,2,0,5811
Oct,5,Friday,Honda,Urban,Nov,2,Male,Married,47,Policy Holder,Sport - Collision,0,5,3,7,400,3,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,2,0,5545
Jun,2,Saturday,Toyota,Rural,Jul,1,Male,Married,65,Third Party,Sedan - Liability,0,1,4,4,400,2,more than 30,more than 30,1,more than 7,Yes,No,External,more than 5,no change,1 vehicle,1994,0,0,7120
Jan,5,Monday,Honda,Urban,Feb,2,Female,Single,27,Third Party,Sport - Collision,0,5,5,3,400,1,more than 30,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,1994,2,0,5965
Oct,4,Friday,Honda,Urban,Nov,1,Male,Single,20,Third Party,Sport - Collision,0,5,6,12,400,3,more than 30,more than 30,none,5 years,No,No,External,3 to 5,no change,1 vehicle,1994,2,0,5580
Feb,1,Saturday,Honda,Urban,Feb,3,Male,Married,36,Third Party,Sport - Collision,0,5,7,14,400,1,more than 30,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,4812
Nov,1,Friday,Honda,Urban,Mar,4,Male,Single,0,Policy Holder,Sport - Collision,0,5,8,1,400,4,more than 30,more than 30,1,new,No,No,External,none,no change,1 vehicle,1994,2,0,5552
Dec,4,Saturday,Honda,Urban,Dec,5,Male,Single,30,Policy Holder,Sport - Collision,0,5,9,7,400,4,more than 30,more than 30,none,6 years,No,Yes,External,3 to 5,no change,1 vehicle,1994,2,0,6390
Apr,3,Tuesday,Ford,Urban,Apr,3,Male,Married,42,Policy Holder,Utility - All Perils,2,5,10,7,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,1994,1,0,6803
Mar,2,Sunday,Mazda,Urban,Mar,3,Male,Single,71,Policy Holder,Sedan - All Perils,1,5,11,7,400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,1,0,6322
Mar,5,Monday,Honda,Urban,Mar,5,Male,Married,52,Policy Holder,Sedan - Liability,0,1,12,13,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,1994,0,0,4163
Jan,3,Friday,Ford,Urban,Jan,3,Male,Married,28,Policy Holder,Sedan - Liability,0,5,13,11,400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,0,0,5227
Jan,5,Friday,Honda,Rural,Feb,1,Male,Single,0,Third Party,Sedan - Collision,1,5,14,12,400,3,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,1994,2,0,6788
Jan,5,Monday,Ford,Urban,Feb,1,Male,Married,61,Policy Holder,Sedan - Liability,0,5,15,3,400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,0,0,5607
Aug,4,Tuesday,Ford,Urban,Aug,5,Male,Single,38,Policy Holder,Sedan - Liability,0,5,16,16,400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1994,0,0,4336
Apr,4,Thursday,Ford,Urban,May,1,Male,Married,41,Policy Holder,Sedan - All Perils,1,5,17,15,400,4,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,1,0,5115
Jul,5,Sunday,Chevrolet,Urban,Aug,1,Female,Married,28,Third Party,Sedan - Collision,1,1,18,6,400,1,more than 30,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,4878
May,4,Thursday,Pontiac,Urban,May,5,Male,Single,32,Policy Holder,Sedan - Liability,0,1,19,6,400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,0,0,4399
Apr,4,Monday,Honda,Urban,May,1,Male,Married,30,Third Party,Sedan - Liability,0,5,20,2,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,5924
